Primary schools,Primary schools,Middle schools,Middle schools,High schools,High schools,Combined grade schools,Combined grade schools
State,Self-contained,Departmentalized,Self-contained,Departmentalized,Self-contained,Departmentalized,Self-contained,Departmentalized
United States,20.9,26.2,16.6,24.9,16.3,23.3,15.6,18.6
Alabama,19.9,25.1,8.1,27.6,27.3,22.3,15.2,20.9
Alaska,21.6,22.9,11.9,24.8,‡,18.4,13.3,10.3
Arizona,23.9,29.5,11.0,26.2,21.9,25.4,20.4,21.9
Arkansas,20.4,26.9,11.0,26.4,17.5,20.4,16.6,15.8
California,24.2,29.2,22.3,31.1,18.3,29.3,19.0,22.7
Colorado,22.8,23.1,21.0,25.8,18.4,24.3,19.5,18.8
Connecticut,19.4,22.9,‡,20.7,14.5,21.5,18.0,12.9
Delaware,19.8,26.8,14.3,25.7,7.0,22.5,5.3,22.9
District of Columbia,‡,‡,‡,‡,‡,‡,‡,‡
Florida,18.9,24.7,14.7,24.8,17.6,26.0,17.2,22.6
Georgia,19.3,30.7,11.9,26.4,18.7,25.2,‡,19.6
Hawaii,20.6,29.8,11.9,24.5,10.2,23.8,19.1,18.5
Idaho,23.5,24.4,19.6,26.0,11.1,23.5,15.3,17.3
Illinois,21.8,25.5,21.3,26.0,13.6,22.4,11.7,16.1
Indiana,21.8,30.8,11.2,26.2,15.3,23.7,7.5,19.2
Iowa,20.8,22.0,17.5,28.4,13.7,23.0,17.1,15.7
Kansas,19.7,21.8,34.1,22.3,15.9,19.8,26.3,13.4
Kentucky,20.7,23.6,#,26.1,11.6,21.8,12.0,25.1
Louisian,17.9,25.5,‡,20.4,15.5,20.9,16.4,19.9
Maine,17.8,17.2,8.6,19.0,7.7,15.3,12.6,18.0
Maryland,‡,‡,‡,‡,‡,‡,‡,‡
Massachusetts,19.7,21.8,11.3,22.9,11.1,20.9,24.2,23.2
Michigan,23.7,33.5,14.2,27.4,28.3,26.4,13.9,19.6
Minnesota,22.4,26.0,22.1,27.3,16.0,24.7,14.6,21.6
Mississippi,20.7,17.9,4.7,21.0,6.9,20.8,14.8,18.7
Missouri,20.2,26.1,12.0,20.7,15.0,22.5,16.0,17.7
Montana,18.5,24.7,14.3,24.3,16.5,19.7,11.9,10.0
Nebraska,18.9,19.7,13.8,21.2,11.3,18.2,15.4,13.5
Nevada,22.5,28.9,7.1,31.9,13.7,28.8,16.1,17.3
New Hampshire,20.1,21.8,26.1,19.3,15.6,17.0,19.0,15.5
New Jersey,18.5,24.9,16.9,22.5,11.3,20.6,12.4,21.4
New Mexico,19.1,24.6,12.8,20.8,16.6,20.5,15.7,15.7
New York,20.2,25.0,17.0,22.7,12.0,22.0,10.9,18.0
North Carolina,19.6,24.1,‡,24.6,15.4,20.8,21.8,22.1
North Dakota,19.3,20.4,41.8,20.2,9.9,19.3,14.7,15.4
Ohio,20.9,24.1,12.8,25.3,14.8,20.7,19.5,16.8
Oklahoma,21.9,22.5,8.4,22.5,17.4,23.8,15.5,18.2
Oregon,24.5,22.3,10.0,27.8,25.9,25.9,13.8,19.1
Pennsylvania,20.6,24.7,10.4,23.3,20.3,22.0,25.8,20.8
Rhode Island,20.3,23.8,13.7,24.9,10.7,21.0,18.0,19.4
South Carolina,20.4,32.9,10.6,21.9,16.4,22.0,7.0,19.8
South Dakota,20.0,16.0,6.8,27.4,14.3,21.2,14.6,17.1
Tennessee,19.2,24.9,13.8,26.1,22.4,21.8,10.9,20.7
Texas,18.9,30.3,20.3,22.9,15.8,22.7,14.6,17.0
Utah,24.4,38.5,24.1,28.9,16.3,28.1,22.5,21.8
Vermont,16.4,20.1,#,19.1,17.0,14.7,17.0,12.8
Virginia,19.3,23.9,‡,25.0,13.5,21.0,7.6,8.3
Washington,21.3,28.3,16.1,26.8,15.8,23.9,11.2,16.1
West Virginia,19.9,25.9,11.6,23.8,15.9,20.5,12.5,8.5
Wisconsin,20.3,24.9,11.2,26.1,17.9,23.5,18.1,17.9
Wyoming,18.3,22.0,4.7,21.7,16.6,18.6,12.0,15.2